item_id,hotel_id,city,rows,occ_cells,alerts,template,sg_on,state,options,sg_rows,dup_groups,neg_rows,pos_rows,hotel_name_hint,t_vn
686,the-up-phu-quoc-thanh-pho-phu-quoc,Phú Quốc,14,0,0,gọn(không_cột),False,gọn,14,0,0,0,14,The Up Phu Quoc,2026-09-25 22:29:23
687,palm-bay-resort-amp-spa-phu-quoc,Phú Quốc,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,4,Palm Bay Resort Phu Quoc,2026-09-25 22:29:39
688,bb-amp-resort,Phú Quốc,6,0,0,gọn(không_cột),False,gọn,6,0,0,0,6,BB Hotel&Resort,2026-09-25 22:29:53
689,lamer-resort,Phú Quốc,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,3,"La Mer Resort, Phú Quốc",2026-09-25 22:30:08
690,freebeach,Phú Quốc,6,0,0,gọn(không_cột),False,gọn,6,0,0,0,6,Free Beach Resort,2026-09-25 22:30:22
691,phu-quoc-valentina-villas,Phú Quốc,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,4,Valentina Resort & Spa Phu Quoc,2026-09-25 22:30:37
692,philipbungalow,Phú Quốc,6,0,0,gọn(không_cột),False,gọn,6,0,0,0,0,Philip Bungalow,2026-09-25 22:30:50
693,sun-and-wind-paradise,Phú Quốc,14,14,1,có_cột_số_người,True,BẬT(có dòng 1 khách),14,1,1,0,0,Sun & Wind Paradise Bungalow,2026-09-25 22:31:03
694,haveda-resort,Phú Quốc,8,0,0,gọn(không_cột),False,gọn,8,0,0,0,4,Qualia Resort Phu Quoc,2026-09-25 22:31:20
695,worldhotels-long-beach-resort-phu-quoc,Phú Quốc,24,0,0,gọn(không_cột),False,gọn,24,0,0,0,12,WorldHotels Long Beach Resort Phu Quoc,2026-09-25 22:31:35
696,ann-amp-spa,Phú Quốc,10,0,0,gọn(không_cột),False,gọn,10,0,0,0,5,Ann Hotel & Spa Khem Beach PQ,2026-09-25 22:31:53
697,vistalago-phu-quoc1,Phú Quốc,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,6,Vistalago Hotel Khem Beach Phu Quoc,2026-09-25 22:32:08
698,harry-phu-quoc-3,Phú Quốc,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,3,Harry Phu Quoc Hotel,2026-09-25 22:32:22
699,aris-resort,Phú Quốc,1,0,0,gọn(không_cột),False,gọn,1,0,0,0,1,Aris Resort,2026-09-25 22:32:36
700,noska,Phú Quốc,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,Noska Hotel Sunset Town Sea View & Fireworks,2026-09-25 22:32:48
701,movenpick-residences-phu-quoc,Phú Quốc,40,40,20,có_cột_số_người,True,BẬT(có dòng 1 khách),40,20,20,0,40,Mövenpick Villas & Residences Phu Quoc,2026-09-25 22:33:02
702,leto-phu-quoc3,Phú Quốc,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,Leto Hotel Central Sunset Town,2026-09-25 22:33:22
703,son-of-the-beach,Phú Quốc,7,7,2,có_cột_số_người,True,BẬT(có dòng 1 khách),7,2,2,0,7,My Marina Beach Hotel Phu Quoc,2026-09-25 22:33:37
704,tahiti-luxury-villa,Phú Quốc,7,0,0,gọn(không_cột),False,gọn,7,0,0,0,4,Tahiti Luxury Villa,2026-09-25 22:33:51
705,tiamo-phu-quoc,Phú Quốc,8,0,0,gọn(không_cột),False,gọn,8,0,0,0,4,Tiamo Hotel,2026-09-25 22:34:06
706,triland-phu-quoc,Phú Quốc,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,4,Triland Hotel,2026-09-25 22:34:20
707,cosi-beach-phu-quoc,Phú Quốc,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,2,Cosi Beach Hotel Phu Quoc,2026-09-25 22:34:34
708,vinholiday-1-phu-quoc-phu-quoc,Phú Quốc,11,0,0,gọn(không_cột),False,gọn,11,0,0,0,5,Vinholidays Fiesta Phu Quoc,2026-09-25 22:34:47
709,cybele-phu-quoc-phu-quoc,Phú Quốc,2,0,0,gọn(không_cột),False,gọn,2,0,0,0,2,Cybele Sunset Hotel Phu Quoc,2026-09-25 22:35:03
