g0,hotel,checkin,item_id,n,pmin,pmax,n_room,n_rate,n_occ,n_meal,n_pkg,n_bid,ratio,dims
1098,b-amp-k-homestay-glocery-store,2026-11-18,45,3,1352291.0,1458000.0,1,2,3,1,1,3,1.0781703050600795,1 khách + thanh toán
1099,b-amp-k-homestay-glocery-store,2026-11-18,45,2,1530000.0,1620000.0,1,1,2,1,1,2,1.0588235294117647,1 khách
1100,movenpick-residences-phu-quoc,2026-10-01,46,2,45100000.0,45400000.0,1,1,2,1,1,2,1.0066518847006651,1 khách
1101,movenpick-residences-phu-quoc,2026-10-01,46,2,56300000.0,56600000.0,1,1,2,1,1,2,1.0053285968028418,1 khách
1102,movenpick-residences-phu-quoc,2026-10-01,46,2,6700000.0,7000000.0,1,1,2,1,1,2,1.044776119402985,1 khách
1103,movenpick-residences-phu-quoc,2026-10-01,46,2,8300000.0,8600000.0,1,1,2,1,1,2,1.036144578313253,1 khách
1104,movenpick-residences-phu-quoc,2026-10-01,46,2,2500000.0,2800000.0,1,1,2,1,1,2,1.12,1 khách
1105,movenpick-residences-phu-quoc,2026-10-01,46,2,3050000.0,3350000.0,1,1,2,1,1,2,1.098360655737705,1 khách
1106,movenpick-residences-phu-quoc,2026-10-01,46,2,2580000.0,2880000.0,1,1,2,1,1,2,1.1162790697674418,1 khách
1107,movenpick-residences-phu-quoc,2026-10-01,46,2,3150000.0,3450000.0,1,1,2,1,1,2,1.0952380952380953,1 khách
1108,movenpick-residences-phu-quoc,2026-10-01,46,2,12300000.0,12600000.0,1,1,2,1,1,2,1.024390243902439,1 khách
1109,movenpick-residences-phu-quoc,2026-10-01,46,2,15300000.0,15600000.0,1,1,2,1,1,2,1.0196078431372548,1 khách
1110,movenpick-residences-phu-quoc,2026-10-01,46,2,7500000.0,7800000.0,1,1,2,1,1,2,1.04,1 khách
1111,movenpick-residences-phu-quoc,2026-10-01,46,2,9300000.0,9600000.0,1,1,2,1,1,2,1.032258064516129,1 khách
1112,movenpick-residences-phu-quoc,2026-10-01,46,2,2900000.0,3200000.0,1,1,2,1,1,2,1.103448275862069,1 khách
1113,movenpick-residences-phu-quoc,2026-10-01,46,2,3550000.0,3850000.0,1,1,2,1,1,2,1.0845070422535212,1 khách
1114,movenpick-residences-phu-quoc,2026-10-01,46,2,5860000.0,6160000.0,1,1,2,1,1,2,1.0511945392491469,1 khách
1115,movenpick-residences-phu-quoc,2026-10-01,46,2,7250000.0,7550000.0,1,1,2,1,1,2,1.0413793103448277,1 khách
